laughter: смех, хохот, гогот, ржание
whistling: свист, насвистывание, свисток
skateboard: скейтборд, доска, скейт
oboe: гобой, духовой инструмент
playing_table_tennis: игра в настольный теннис, пинг-понг
snake_rattle: погремушка змея, звенящий звук
toothbrush: зубная щетка, чистка зуб
wind_chime: ветровой колокольчик, перезвон
vacuum_cleaner: пылесос, уборочное устройство
rattle_instrument: погремушка, музыкальная игрушка
ukulele: укулела, гавайская гитара
babble: лепет, болтовня
chopping_wood: рубка др, колка
chuckle_chortle: посмеивание, смешок
snoring: храп, храпение
cat_purr: мурлыканье кот, кошачий звук
bell: колокол, звонок
whale_vocalization: вокализация кит, звуки кит
clock: часы, время
glockenspiel: колокольчик, ударный инструмент
synthesizer: синтезатор, электронный инструмент
squeak: писк, скрип
wind_noise_microphone: шум ветра в микрофон, шумовой эффект
cough: кашель, покашливание
bass_drum: бас-барабан, ударный инструмент
hair_dryer: фен, сушилка для волосый
sigh: вздох, выдох
bird_chirp_tweet: птичье чириканье, щебет
airplane: самолёт, авиалайнер
yell: крик, вопль
mechanical_fan: механический вентилятор, воздуходувка
truck: грузовик, фура
bicycle_bell: велосипедный звонок, звонок
slap_smack: шлепок, удар
waterfall: водопад, каскад
bagpipes: волынка, духовой инструмент
breathing: дыхание, вздох
siren: сирена, сигнал
ringtone: рингтон, звонок
guitar: гитара, струнный инструмент
turkey_gobble: клокотание индюк, индюшачий звук
keys_jangling: звяканье ключий, звуки ключий
chicken_cluck: кудахтанье курица, куриный звук
knock: стук, постукивание
bass_guitar: бас-гитара, струнный инструмент
playing_squash: игра в сквош, сквош
organ: орган, музыкальный инструмент
foghorn: туманный сигнал, гудок
dog: собака, пёс
gunshot_gunfire: выстрел, стрельба
hammond_organ: орган хаммонд, электроорган
hammer: молоток, ударный инструмент
steel_guitar_slide_guitar: слайд-гитара, стальная гитара
civil_defense_siren: сирена гражданской оборона, сигнал тревога
engine_idling: работающий на холостом ходу двигатель, холостой ход
pig_oink: хрюканье свинья, свинячий звук
music: музыка, мелодия
flute: флейта, духовой инструмент
engine_knocking: стук двигатель, постукивание
sailing: парусный спорт, плавание
glass_clink: звон стечь, звяканье
tabla: табла, ударный инструмент
liquid_pouring: наливание жидкость, переливание
cowbell: коровий колокольчик, колокол
fireworks: фейерверк, салют
boiling: кипение, бурление
elk_bugle: рев лось, звук лось
gasp: вздох, ахание
water_tap_faucet: водопроводный кран, вентиль
chainsaw: бензопила, цепная пить
chewing: жевание, пережёвывание
electronic_organ: электронный орган, синтезатор
wind: ветер, воздушный поток
chatter: болтовня, щебетание
engine_starting: запуск двигатель, старт
fire_crackle: треск огнить, потрескивание
hiccup: икота, икание
wind_instrument: духовой инструмент, флейта
lion_roar: рев лев, львиный рык
train_wheels_squealing: скрежет колес поезд, визг
humming: гудение, мурлыканье
chime: колокольчик, звон
crowd: толпа, множество людь
thunderstorm: гроза, буря
shout: крик, вопль
thump_thud: глухой удар, стук
harmonica: губная гармошка, гармоника
sink_filling_washing: заполнение раковина, мытьё
traffic_noise: шум транспорт, дорожный шум
railroad_car: вагон, железнодорожный вагон
firecracker: петарда, хлопушка
rain: дождь, осадка
guitar_tapping: таппинг на гитара, игра на гитара
tearing: разрывание, рвать
reverse_beeps: сигналы при движении назад, звуковые сигнал
playing_hockey: игра в хоккей, хоккейный матч
horse_neigh: ржание лошадь, лошадиный звук
person_running: бегущий человек, бег
slurp: чавканье, прихлебывание
goose_honk: гоготание гусь, гусиный звук
playing_badminton: игра в бадминтон, бадминтон
double_bass: контрабас, басовый инструмент
crushing: дробление, раздавливание
playing_tennis: игра в теннис, теннисный матч
thunder: гром, раскат
vibraphone: вибрафон, ударный инструмент
drum_kit: барабанная установка, ударная установка
bicycle: велосипед, байк
trombone: тромбон, духовой инструмент
bird: птица, пернатый
zither: цитра, струнный инструмент
baby_laughter: смех младенец, детский смех
yodeling: йодль, пение
person_shuffling: шаркающий человек, человек с шаркание
race_car: гоночный автомобиль, болид
acoustic_guitar: акустическая гитара, гитара
bathtub_filling_washing: заполнение ванный, купание
printer: принтер, печатающее устройство
air_conditioner: кондиционер, охлаждающее устройство
fly_buzz: жужжание муха, мухин звук
duck_quack: кряканье утка, утиный звук
burp: отрыжка, рыгание
horse_clip_clop: цокот копыт, звук копыто
singing: пение, вокал
door_sliding: раздвижная дверить, скользящая дверить
cat: кошка, кот
marimba_xylophone: маримба, ксилофон
engine_accelerating_revving: ускорение двигатель, рев мотор
door_bell: дверной звонок, звонок
stream_burbling: журчание ручье, поток
person_walking: идущий человек, шаг
insect: насекомое, жук
air_horn: воздушный клаксон, сирена
plucked_string_instrument: щипковый струнный инструмент, гитара
fire_engine_siren: сирена пожарной машина, сигнал
trumpet: труба, духовой инструмент
applause: аплодисменты, хлопок
sitar: ситар, струнный инструмент
finger_snapping: щелканье палец, щелчок
vehicle_skidding: занос транспортного средство, скольжение
harpsichord: клавесин, струнный инструмент
drill: дрель, сверло
dog_bark: лай собака, гавканье
liquid_spraying: распыление жидкость, спреть
battle_cry: боевой клич, военный з
screaming: крик, вопль
zipper: молния, застёжка
writing: письмо, запись
sneeze: чихание, чих
skiing: катание на лыжа, лыжный спорт
bassoon: фагот, духовой инструмент
accordion: аккордеон, баян
steelpan: стальной барабан, ударный инструмент
basketball_bounce: отскок баскетбольного мяч, баскетбол
frying_food: жарка ед, приготовление
smoke_detector: датчик дым, пожарная сигнализация
sea_waves: морские волна, шум морить
cat_meow: мяуканье кот, кошачий звук
telephone: телефон, звонок
drum: барабан, ударный инструмент
power_tool: электроинструмент, инструмент
chicken: курица, цыплёнок
blender: блендер, миксер
typing_computer_keyboard: печать на клавиатура, набор текст
liquid_filling_container: наливание жидкости в контейнер, заполнение
pigeon_dove_coo: воркование голубь, голубиный звук
chopping_food: нарезка ед, приготовление пища
keyboard_musical: музыкальная клавиатура, синтезатор
telephone_bell_ringing: звонок телефон, звонок
hedge_trimmer: кусторез, триммер
cow_moo: мычание коров, коровий звук
liquid_trickle_dribble: струйка жидкость, капля
harp: арфа, струнный инструмент
snare_drum: малый барабан, ударный инструмент
water_pump: водяной насос, помпа
banjo: банджо, струнный инструмент
rooster_crow: кукареканье петуха, петушиный звук
tuning_fork: камертон, инструмент для настройка
children_shouting: детские крик, шум ребёнок
typing: печать, набор текст
toilet_flush: смыв унитаз, смывание
cello: виолончель, струнный инструмент
gargling: полоскание, бульканье
bird_squawk: крик птица, птичий звук
bee_buzz: жужжание пчел, пчелиный звук
french_horn: валторна, духовой инструмент
tick_tock: тик-так, тиканье
violin_fiddle: скрипка, смычковый инструмент
emergency_vehicle: аварийное транспортное средство, машина скорой помощь
crying_sobbing: плач, всхлипывание
water: вода, водный поток
car_horn: автомобильный гудка, сигнал
silence: тишина, молчание
ambulance_siren: сирена скорой помощь, сигнал
crumpling_crinkling: мятие, шелест
cricket_chirp: стрекот сверчок, сверчковый звук
electric_piano: электрическое пианин, синтезатор
beep: сигнал, писк
bird_vocalization: птичье пение, щебет
