person: человек, индивид, личность, особа, персона
bicycle: велосипед, двухколесный
dining room: столовая, обеденная комната
elevator: лифт, подъемник
fast food restaurant: ресторан быстрого питания, фастфуд
florist: флорист, цветочный магазин
game room: игровой зал, зал для игр
garage: гараж, автогараж
greenhouse: теплица, парник
grocery store: продуктовый магазин, магазин продуктов
gym: спортзал, тренажерный зал
hair salon: парикмахерская, салон красоты
hospital room: палата в госпитале, больничная палата
inside bus: внутри автобуса, салон автобуса
inside subway: внутри метро, вагон метро
jewellery shop: ювелирный магазин, магазин ювелирных изделий
kindergarten: детский сад, дошкольное учреждение
kitchen: кухня, кулинарное пространство
laboratory wet: влажная лаборатория, экспериментальная лаборатория
laundromat: прачечная самообслуживания, автоматическая прачечная
library: библиотека, книжный фонд
living room: гостиная, зал
lobby: лобби, вестибюль
locker room: раздевалка, комната для переодевания
mall: торговый центр, молл
meeting room: зал заседаний, конференц-зал
movie theater: кинотеатр, кинозал
museum: музей, выставочный зал
nursery: ясли, детская комната
office: офис, рабочее пространство
operating room: операционная, хирургический зал
pantry: кладовая, запасная комната
pool inside: внутренний бассейн, крытый бассейн
prison cell: тюремная камера, камера заключения
restaurant: ресторан, общепит
restaurant kitchen: кухня ресторана, кулинарное отделение ресторана
shoe shop: обувной магазин, магазин обуви
staircase: лестница, лестничный пролет
studio music: музыкальная студия, студия звукозаписи
subway: метро, подземка
toy store: магазин игрушек, магазин детских товаров
train station: железнодорожная станция, вокзал
tv studio: телевизионная студия, студия ТВ
video store: видеомагазин, магазин видеофильмов
waiting room: приемная, зал ожидания
warehouse: склад, хранилище
wine cellar: винный погреб, винотека
airport: аэропорт, воздушная гавань
alley: переулок, узкая улица
beach: пляж, морской берег
bridge: мост, переправа
campsite: кемпинг, палаточный лагерь
canyon: каньон, ущелье
cemetery: кладбище, некрополь
church: церковь, храм
city: город, мегаполис
cliff: обрыв, скала
coast: побережье, берег моря
construction site: стройплощадка, строительная площадка
dam: плотина, дамба
desert: пустыня, безводная зона
farm: ферма, хозяйство
festival: фестиваль, праздник
field: поле, простор
forest: лес, лесной массив
fortress: крепость, форт
garden: сад, парк
glacier: ледник, глетчер
harbor: гавань, порт
hills: холмы, возвышенности
island: остров, островной район
jungle: джунгли, тропический лес
lake: озеро, водоем
lighthouse: маяк, башня с огнем
mine: шахта, копь
mosque: мечеть, исламский храм
mountain: гора, горный хребет
observatory: обсерватория, астрономическая станция
orchard: фруктовый сад, сад с деревьями
palace: дворец, резиденция
park: парк, зеленая зона
plantation: плантация, культурный насаждение
port: порт, морской терминал
race track: гоночная трасса, автодром
railway: железная дорога, железнодорожные пути
river: река, водоток
road: дорога, шоссе
ruins: руины, развалины
savanna: саванна, тропическая равнина
square: площадь, городская площадь
stadium: стадион, спортивная арена
street: улица, дорожка
suburb: пригород, окраина
swamp: болото, топь
temple: храм, святилище
town: городок, населенный пункт
train station: железнодорожная станция, вокзал
tundra: тундра, полярная равнина
tunnel: туннель, подземный проход
underwater: подводный, под водой
valley: долина, ущелье
village: деревня, поселок
volcano: вулкан, гора с кратером
waterfall: водопад, падающая вода
wind farm: ветряная ферма, ветропарк
windmill: ветряная мельница, ветряк
zoo: зоопарк, парк диких животных
interior: интерьер, внутреннее пространство, инт
nature: нат, природа, свежий воздух
