abseiling: спуск на верёвках, альпинизм
cooking on campfire: приготовление на костре, кемпинг
cooking sausages: жарка сосисок, приготовление на гриле
counting money: подсчёт денег, работа с финансами
country line dancing: кантри-танец, танцевальное развлечение
cracking neck: хруст в шее, релаксация
crawling baby: ползание ребёнка, развитие младенца
crossing river: переход через реку, путешествие
crying: плач, эмоциональное выражение
curling hair: завивка волос, парикмахерские услуги
cutting nails: стрижка ногтей, маникюр
cutting pineapple: нарезка ананаса, приготовление фруктов
cutting watermelon: нарезка арбуза, работа с фруктами


dancing ballet: балет, классический танец
dancing charleston: танец чарльстон, старинные танцы
dancing gangnam style: танец в стиле гангнам, современные танцы
dancing macarena: танец макарена, популярные танцы
deadlifting: становая тяга, поднятие тяжестей
decorating the christmas tree: украшение рождественской ёлки, праздничные мероприятия
digging: копание, работа с лопатой
dining: обедание, приём пищи
disc golfing: диск-гольф, игра в гольф с диском
diving cliff: прыжки с утёса, экстремальный спорт
dodgeball: игра в доджбол, командный спорт
doing aerobics: аэробика, фитнес
doing laundry: стирка, бытовая работа
doing nails: маникюр, уход за ногтями
drawing: рисование, искусство
dribbling basketball: ведение баскетбольного мяча, баскетбол
drinking: питьё, употребление жидкости
drinking beer: питьё пива, употребление алкоголя
drinking shots: питьё шотов, участие в застолье
driving car: вождение автомобиля, управление транспортом
driving tractor: вождение трактора, работа на сельхозтехнике
drop kicking: удар ногой, футбольный приём
drumming fingers: барабанение пальцами, ритмическое движение
dunking basketball: забивание мяча в баскетбол, баскетбольный приём
dying hair: окрашивание волос, изменение цвета волос
eating burger: еда бургера, употребление фастфуда
eating cake: еда пирога, употребление десертов
eating carrots: еда моркови, употребление овощей
eating chips: еда чипсов, употребление закусок
eating doughnuts: еда пончиков, употребление сладостей
eating hotdog: еда хот-дога, употребление фастфуда
eating ice cream: еда мороженого, употребление десертов
eating spaghetti: еда спагетти, употребление макаронных изделий
eating watermelon: еда арбуза, употребление фруктов
egg hunting: охота на яйца, пасхальные игры
exercising arm: упражнения для рук, фитнес
exercising with an exercise ball: упражнения с фитболом, тренировки
extinguishing fire: тушение огня, пожарная безопасность
faceplanting: падение лицом, неудачное падение
feeding birds: кормление птиц, уход за птицами
feeding fish: кормление рыб, уход за аквариумными рыбами
feeding goats: кормление коз, уход за козами
filling eyebrows: коррекция бровей, уход

 за бровями
finger snapping: щелчок пальцами, ритмический жест
fixing hair: укладка волос, парикмахерские услуги
flipping pancake: переворачивание блина, приготовление блинов
flying kite: запуск воздушного змея, уличное развлечение
folding clothes: складывание одежды, уборка гардероба
folding napkins: складывание салфеток, сервировка стола
folding paper: складывание бумаги, оригами
front raises: подъёмы рук вперёд, упражнения для плеч
frying vegetables: жарка овощей, приготовление еды
garbage collecting: сбор мусора, уборка территории
gargling: полоскание горла, гигиена полости рта
getting a haircut: стрижка, посещение парикмахерской
getting a tattoo: нанесение татуировки, тату-салон
giving or receiving award: вручение или получение награды, церемония награждения
golf chipping: удар по мячу в гольф, короткий удар
golf driving: драйв в гольф, дальний удар по мячу
golf putting: паттинг в гольф, точный удар в лунку
grinding meat: перемалывание мяса, работа с мясорубкой
grooming dog: уход за собакой, стрижка и чистка собак
grooming horse: уход за лошадью, чистка и уборка лошадей
gymnastics tumbling: гимнастические упражнения, акробатика
hammer throw: метание молота, лёгкая атлетика
headbanging: качание головой, рок-жест
headbutting: удар головой, агрессивный жест
high jump: прыжок в высоту, лёгкая атлетика
high kick: высокий удар ногой, боевые искусства
hitting baseball: удар по бейсбольному мячу, бейсбол
hockey stop: хоккейная остановка, элемент катания на коньках
holding snake: держание змеи, уход за рептилиями
hopscotch: классики, детская игра
hoverboarding: катание на ховерборде, современное катание
hugging: объятия, проявление любви и заботы
hula hooping: хула-хуп, вращение обруча
hurdling: барьерный бег, спринт с препятствиями
hurling (sport): херлинг (спорт), ирландский командный спорт
ice climbing: восхождение на лёд, альпинизм зимой
ice fishing: ловля рыбы на льду, зимняя рыбалка
ice skating: катание на коньках, зимний спорт
ironing: глажение, уход за бельём
javelin throw: метание копья, лёгкая атлетика
jetskiing: катание на

 гидроцикле, водный спорт
jogging: пробежка, бег трусцой
juggling balls: жонглирование мячами, уличное искусство
juggling fire: жонглирование огнём, фаер-шоу
juggling soccer ball: жонглирование футбольным мячом, футбольные трюки
jumping into pool: прыжок в бассейн, водные развлечения
jumpstyle dancing: танец джампстайл, уличный танец
kicking field goal: удар по воротам, футбольный удар
kicking soccer ball: удар по футбольному мячу, футбол
kissing: поцелуй, проявление любви
kitesurfing: кайтсёрфинг, водный экстрим
knitting: вязание, ручное творчество
krumping: крампинг, уличный танец
laughing: смех, эмоциональное выражение
laying bricks: кладка кирпича, строительные работы
long jump: прыжок в длину, лёгкая атлетика
lunge: выпад, упражнение для ног
making a cake: приготовление торта, кулинария
making a sandwich: приготовление бутерброда, быстрое питание
making bed: заправка кровати, уборка спальни
making jewelry: изготовление украшений, ювелирное дело
making pizza: приготовление пиццы, кулинария
making snowman: лепка снеговика, зимние забавы
making sushi: приготовление суши, японская кухня
making tea: заваривание чая, чайная церемония
marching: маршировка, шествие
massaging back: массаж спины, релаксация
massaging feet: массаж ног, уход за стопами
massaging legs: массаж ног, уход за нижними конечностями
massaging person's head: массаж головы человека, уход за кожей головы
milking cow: доение коровы, сельскохозяйственная работа
mopping floor: мытьё полов, уборка помещений
motorcycling: катание на мотоцикле, мотоспорт
moving furniture: перестановка мебели, домашний труд
mowing lawn: стрижка газона, уход за лужайкой
news anchoring: ведение новостей, телевизионная деятельность
opening bottle: открытие бутылки, использование открывалки
opening present: открытие подарка, распаковка
paragliding: параглайдинг, парашютный спорт
parasailing: парасейлинг, водный парашют
parkour: паркур, городской экстрим
passing American football (in game): передача американского футбола (в игре), командный спорт
passing American football (not in game): передача американского футбола (вне игры), тренировка
peeling apples: чистка яблок

, кулинарная подготовка
peeling potatoes: чистка картофеля, кулинарная подготовка
petting animal (not cat): глажение животного (не кошки), уход за животными
petting cat: глажение кошки, уход за кошкой
picking fruit: сбор фруктов, садоводство
planting trees: посадка деревьев, лесное хозяйство
plastering: штукатурные работы, отделочные работы
playing accordion: игра на аккордеоне, музыкальное исполнение
playing badminton: игра в бадминтон, ракеточный спорт
playing bagpipes: игра на волынке, национальная музыка
playing basketball: игра в баскетбол, командный спорт
playing bass guitar: игра на бас-гитаре, музыкальное исполнение
playing cards: игра в карты, настольная игра
playing cello: игра на виолончели, струнные инструменты
playing chess: игра в шахматы, интеллектуальный спорт
playing clarinet: игра на кларнете, духовой музыкальный инструмент
playing controller: игра с контроллером, видеоигры
playing cricket: игра в крикет, командный спорт
playing cymbals: игра на тарелках, перкуссия
playing didgeridoo: игра на диджериду, аборигенный инструмент
playing drums: игра на барабанах, ударные инструменты
playing flute: игра на флейте, духовой музыкальный инструмент
playing guitar: игра на гитаре, струнный музыкальный инструмент
playing harmonica: игра на губной гармонике, музыкальное исполнение
playing harp: игра на арфе, струнный музыкальный инструмент
playing ice hockey: игра в хоккей на льду, зимний командный спорт
playing keyboard: игра на клавиатуре, электронные клавишные инструменты
playing kickball: игра в кикбол, командная игра
playing monopoly: игра в монополию, настольная игра
playing organ: игра на органе, клавишный музыкальный инструмент
playing paintball: игра в пейнтбол, командный экстрим
playing piano: игра на пианино, клавишный музыкальный инструмент
playing poker: игра в покер, азартная игра
playing recorder: игра на флейте-пищике, духовой музыкальный инструмент
playing saxophone: игра на саксофоне, духовой музыкальный инструмент
playing squash or racquetball: игра в сквош или ракетбол, ракеточные виды спорта
playing tennis: игра в теннис, ракеточный спорт
playing trombone: игра на тромбоне, духовой музыкальный инструмент
playing trumpet: игра на трубе, духовой музыкальный инструмент
-

 playing ukulele: игра на укулеле, струнный музыкальный инструмент
playing violin: игра на скрипке, струнный музыкальный инструмент
playing volleyball: игра в волейбол, командный спорт
playing xylophone: игра на ксилофоне, ударный музыкальный инструмент
pole vault: прыжок с шестом, лёгкая атлетика
presenting weather forecast: презентация прогноза погоды, телеведущий
pull ups: подтягивания, упражнения на турнике
pumping fist: качание кулаком, жест победы
pumping gas: заправка бензином, работа на заправке
punching bag: удар по мешку, тренировка бокса
punching person (boxing): удар по человеку (бокс), спортивный бой
push up: отжимания, упражнения на пресс
pushing car: толкание автомобиля, аварийная ситуация
pushing cart: толкание тележки, работа в магазине
pushing wheelchair: толкание инвалидной коляски, помощь людям с ограниченными возможностями
reading book: чтение книги, интеллектуальное развлечение
reading newspaper: чтение газеты, утренние новости
recording music: запись музыки, студийная работа
riding a bike: катание на велосипеде, велоспорт
riding camel: верховая езда на верблюде, экзотическое путешествие
riding elephant: верховая езда на слоне, туристическое развлечение
riding mechanical bull: катание на механическом быке, развлекательное мероприятие
riding mountain bike: катание на горном велосипеде, экстремальный велоспорт
riding mule: верховая езда на муле, путешествие в горах
riding or walking with horse: верховая езда или прогулка с лошадью, конный спорт
riding scooter: катание на скутере, городское передвижение
riding unicycle: катание на одноколёсном велосипеде, цирковое искусство
ripping paper: рвание бумаги, уничтожение документов
robot dancing: робот-танец, современные танцевальные движения
rock climbing: скалолазание, альпинизм
rock scissors paper: игра в камень, ножницы, бумага, детская игра
roller skating: катание на роликах, роликовый спорт
running on treadmill: бег на беговой дорожке, кардиотренировка
sailing: парусный спорт, водный туризм
salsa dancing: танец сальса, латиноамериканские танцы
sanding floor: шлифовка полов, ремонтные работы
scrambling eggs: взбивание яиц, приготовление завтрака
scuba diving: дайвинг, подводное плавание
setting table: сервиров

ка стола, подготовка к приёму пищи
shaking hands: рукопожатие, знак приветствия
shaking head: качание головой, жест несогласия
sharpening knives: заточка ножей, уход за кухонным инвентарем
sharpening pencil: заточка карандаша, подготовка к рисованию или письму
shaving head: бритьё головы, парикмахерская услуга
shaving legs: бритьё ног, уход за телом
shearing sheep: стрижка овец, сельскохозяйственная работа
shining shoes: чистка обуви, уход за обувью
shooting basketball: бросок баскетбольного мяча, баскетбол
shooting goal (soccer): забивание гола (футбол), футбольный удар
shot put: толкание ядра, лёгкая атлетика
shoveling snow: расчистка снега, зимняя уборка
shredding paper: уничтожение бумаги, работа с шредером
shuffling cards: перетасовка карт, подготовка к карточной игре
side kick: боковой удар, боевые искусства
sign language interpreting: жестовая интерпретация, перевод для глухих
singing: пение, вокальное исполнение
situp: подъём туловища, упражнение на пресс
skateboarding: скейтбординг, уличный спорт
ski jumping: прыжки на лыжах с трамплина, зимний спорт
skiing (not slalom or crosscountry): лыжный спорт (не слалом и не кросс-кантри), зимние виды спорта
skiing crosscountry: кросс-кантри лыжи, лыжные гонки
skiing slalom: слалом на лыжах, технический вид лыжного спорта
skipping rope: прыжки через скакалку, фитнес упражнение
skydiving: парашютный спорт, прыжки с парашютом
slacklining: хождение по канату, балансировка
slapping: шлёпанье, ручной удар
sled dog racing: гонки на собачьих упряжках, зимний спорт
smoking: курение, употребление табака
smoking hookah: курение кальяна, использование водяной трубки
snatch weight lifting: тяжёлая атлетика (рывок), поднятие штанги одним движением
sneezing: чихание, рефлекторное действие
sniffing: нюхание, обонятельное восприятие
snorkeling: сноркелинг, плавание с маской и трубкой
snowboarding: сноубординг, зимний спорт
snowkiting: кайтинг на снегу, зимний кайтинг
snowmobiling: катание на снегоходе, зимнее развлечение
somersaulting: кувыркание, акробатическое дви

жение
spinning poi: вращение пои, жонглирование с огнем
spray painting: распыление краски, граффити
spraying: распыление, использование спрея
springboard diving: прыжки с трамплина, водные виды спорта
squat: приседания, силовое упражнение
sticking tongue out: показ языка, жест
stomping grapes: топтание винограда, производство вина
stretching arm: растяжка рук, физические упражнения
stretching leg: растяжка ног, гимнастика
strumming guitar: игра на гитаре, перебор струн
surfing crowd: серфинг среди толпы, движение в массе людей
surfing water: водный серфинг, водный спорт
sweeping floor: подметание полов, уборка помещений
swimming backstroke: плавание на спине, стиль плавания
swimming breast stroke: плавание брассом, стиль плавания
swimming butterfly stroke: плавание баттерфляем, стиль плавания
swing dancing: свинг-танец, танцы эпохи джаза
swinging legs: качание ногами, физические упражнения
swinging on something: качание на чем-то, использование качелей
sword fighting: фехтование, боевые искусства
tai chi: тайцзи, китайская гимнастика
taking a shower: принятие душа, личная гигиена
tango dancing: танго, парный танец
tap dancing: степ-танец, ритмичные танцы
tapping guitar: игра на гитаре, перкуссионная техника игры
tapping pen: щелчок ручкой, ритмичное движение
tasting beer: дегустация пива, оценка напитков
tasting food: дегустация еды, оценка блюд
testifying: дача показаний, участие в суде
texting: отправка сообщений, использование мобильного телефона
throwing axe: бросок топора, метание
throwing ball: бросок мяча, спортивное действие
throwing discus: метание диска, лёгкая атлетика
tickling: щекотка, физическое взаимодействие
tobogganing: катание на санях, зимнее развлечение
tossing coin: подбрасывание монеты, решение случайным образом
tossing salad: заправка салата, приготовление блюда
training dog: дрессировка собаки, уход за домашними животными
trapezing: трапеция, цирковое искусство
trimming or shaving beard: стрижка или бритьё бороды, уход за лицом
trimming trees: обрезка деревьев, садоводство
triple jump: тройной прыжок, лёгкая атлетика
tying bow tie: завязывание бабочки, мужской аксессуар
tying knot (not on a tie): завязывание

 узла (не на галстуке), узеловязание
tying tie: завязывание галстука, мужской стиль
unboxing: распаковка, открытие коробок
unloading truck: разгрузка грузовика, транспортная работа
using computer: использование компьютера, работа за ПК
using remote controller (not gaming): использование пульта управления (не для игр), управление устройствами
using segway: использование сегвея, электрический транспорт
vault: прыжок через коня, гимнастика
waiting in line: ожидание в очереди, социальное взаимодействие
walking the dog: выгул собаки, прогулка с питомцем
washing dishes: мытьё посуды, домашние дела
washing feet: мытьё ног, личная гигиена
washing hair: мытьё волос, уход за волосами
washing hands: мытьё рук, личная гигиена
water skiing: катание на водных лыжах, водный спорт
water sliding: катание на водной горке, водные развлечения
watering plants: полив растений, садоводство
waxing back: восковая эпиляция спины, косметическая процедура
waxing chest: восковая эпиляция груди, удаление волос
waxing eyebrows: восковая эпиляция бровей, косметическая процедура
waxing legs: восковая эпиляция ног, удаление волос
weaving basket: плетение корзин, ручное творчество
welding: сварка, металлообработка
whistling: свист, музыкальное выражение
windsurfing: виндсёрфинг, водный спорт
wrapping present: упаковка подарка, подготовка подарков
wrestling: борьба, спортивное соревнование
writing: письмо, текстовая деятельность
yawning: зевота, признак усталости
yoga: йога, физические и духовные практики
zumba: зумба, танцевально-фитнес программа
